id,panoid,date,lat,lon,svf,tvf,bvf
0,RqMl_umXSg2aCnDsbVCPXw,2019-05,37.76269304476423,-122.435209645051,0.776921495715,0.0910150985978,0.0586618370754
1,sE_c2cMYmv6H-3J4GUAzXg,2019-05,37.76303285897987,-122.434723116452,0.690965488762,0.144628422915,0.128464418323
2,zZLNbaMPlmS0m_45jCgg0Q,2019-05,37.76337335043716,-122.4342840187419,0.51510761982,0.358834061961,0.0958900572801
3,tNPfRg7Ho-SEDjbilGkX6g,2019-05,37.76363790822618,-122.4337298636859,0.545788335082,0.281766021973,0.149750404261
4,4nOwq1yy2YExnbkk-2C9sg,2019-05,37.76393960918186,-122.4333372653422,0.618741845676,0.2000918698,0.139438515505
5,0IiqItiCJTDKmRCEbYjPuQ,2019-05,37.76429843125975,-122.4328755795899,0.754750121961,0.053373165055,0.144351515952
6,QHIhTYGAtH4I4C2wbJXXrw,2019-05,37.76462979566018,-122.4324594585315,0.667345801897,0.212297071223,0.0961324566092
7,VX8UZ6FkjcIsm1ZfwjbN7g,2019-05,37.7650142036319,-122.4319731621972,0.579518789126,0.252737635554,0.149719540649
8,gpFgfbBn_n3iHknHHlyoXw,2019-05,37.76537252178653,-122.4315198640273,0.461079053549,0.341889891715,0.167500393464
9,LeVLtg6F6oRwkJmhmf91mw,2019-05,37.76570029938383,-122.431115908865,0.71443428355,0.102882302503,0.156374195733
10,hwyDb4VGJ8Mw9x2sK4ISaQ,2019-04,37.7660399,-122.4307075,0.64536234556,0.0881390938481,0.239779241633
11,8PMXhGqeWPVMOWkxspm0mw,2019-05,37.76638607594396,-122.4302748377145,0.473190931153,0.201064563596,0.291043676987
12,bGlQBKTQgITLMK1B_fRizQ,2019-05,37.76674097089343,-122.4298173630999,0.572877073792,0.245160193011,0.160654479281
13,82VcsiJa4dkAFSsTtDd2PQ,2019-05,37.76706481362432,-122.4293972089536,0.537050731485,0.298513314533,0.147899941007
14,l-2dJfsKwtenhMcl4Mfd4Q,2017-10,37.7674599,-122.4289512,0.710229340133,0.110504812012,0.128796602148
15,PgLqxZpSxk0j2PqQ5n6nkw,2017-10,37.7677556,-122.4285542,0.688835745529,0.129746489186,0.154354069303
16,sgmQL4DkAboIS1-25PqCnw,2019-05,37.76811401983291,-122.4280866833202,0.540774587508,0.217248391205,0.215838998031
17,r9_0h800jCFJwHH-CCT2lg,2019-05,37.76840676647725,-122.4277084491887,0.595560072123,0.180997273016,0.196918859985
18,tVia0WXh5w1XafrFP4NxIQ,2019-05,37.76873903418366,-122.4272725887447,0.482892813893,0.128754025184,0.35487140202
19,vFwedX4cwVjv4t4jpo0LxA,2019-05,37.76906907014,-122.4268710987137,0.789525846722,0.0484313336438,0.116772025829
20,nff5BdQ_yHR3u-goycx9XQ,2019-05,37.7693742,-122.4264921,0.729668429649,0.0919456993896,0.141676731078
21,_m0iE_jFxgzjOZR6C-5lRA,2019-05,37.76967867545472,-122.4261229753729,0.673853492241,0.0564546567427,0.215618800876
22,leAG-g2anYGanP2UCx3eNg,2019-05,37.77001965833296,-122.4256864657592,0.56575194801,0.262963486235,0.137254983152
23,urCchB2qzle4muep5UgIaQ,2017-02,37.7703446,-122.4252444,0.579810407781,0.117973971343,0.272790400844
24,ZrzmVgGvkG22J8xDdocMaw,2017-02,37.77066112315599,-122.4248406824409,0.659878885656,0.0613843285381,0.245014757471
25,JB4PP0ss_hBHGzX8JuK9gg,2017-02,37.77102215636563,-122.4244388492633,0.5270405912,0.110601459304,0.347858989598
26,O5b-Ik0BsYbZG82SyEe6QQ,2019-05,37.77128761661547,-122.4240119855906,0.611708779915,0.193988819132,0.174294873219
27,Ue1hywtAJJ_S05XZFUf01w,2019-05,37.77166837457587,-122.4236202062844,0.648176049346,0.176286896,0.1276459547
28,oo72l_56_a7gq5pNBt6JRQ,2019-05,37.7719951116059,-122.4231916490038,0.521949476246,0.26813135666,0.176297083876
29,RLPNQPkyn6iHDSeKuigcwA,2019-04,37.77236148957353,-122.4226254670215,0.699688645101,0.135759442927,0.10929602908
30,c-wTUA90bTfq2CfZC1BQTw,2019-05,37.7727212,-122.4222202,0.279181617866,0.102873494424,0.540807399256
31,gtrPZ0I8Z3Y2_4y3te-YcA,2019-05,37.7731136,-122.4218071,0.653068503676,0.13019992294,0.168260541071
32,xXnU1D2hfWyISuQJ3GLkPA,2019-05,37.77344161031693,-122.4213328529341,0.31073878718,0.492933016601,0.168941635495
33,T7Ceo7JW9aP2B_HFOqy4WQ,2019-05,37.77380647670555,-122.4208703026504,0.57317971171,0.205013699618,0.199163032467
34,-OCymEFw8RecPwYP5rgQOg,2019-05,37.77414629229204,-122.4204495436281,0.50948869415,0.283257542231,0.156806036425
35,OmAIZFyRgqGiNKRYn7jMow,2019-04,37.77452656510907,-122.4200906226069,0.432667200607,0.393271649066,0.152772479024
36,CSQAJ2sIMZVS7VfwE_QD7A,2019-04,37.77484659279068,-122.419683911742,0.480683180473,0.323343909405,0.173943764248
37,Ywc8JKJ0inVonle-85-Y1w,2019-04,37.77518460638531,-122.4191982992554,0.614080843375,0.0272136580379,0.291731279739
38,acoRYJ3krzRAFU84yX9oOQ,2019-04,37.77550610733598,-122.4188511248033,0.431193338643,0.0825838724547,0.454340752316
39,qtvblYHMm5fMxteOkq3wqA,2019-04,37.77586459056879,-122.4183939658919,0.374060808116,0.142410733775,0.456332423809
40,LnI3HVy5a3BlfLaiPFERGg,2019-04,37.77619496622076,-122.4179752267568,0.37930480488,0.0646082981703,0.523104798349
41,1F2FUhiiH_tBjmNtqaB61Q,2019-04,37.7765256,-122.4175363,0.426445382226,0.0326873131688,0.477118753557
42,QXn4BBdahJzoPDgJG-D--g,2017-02,37.776851250394,-122.4171493812968,0.408134251108,0.0319047893364,0.522906864197
43,2joQGawbPL_2U0HPwpEYdA,2017-02,37.77716921242878,-122.4167446631687,0.431594091009,0.0171883414691,0.532102102557
44,pKGuYGV9r2yg9dOStO_FoA,2019-05,37.77750100898474,-122.4163197607422,0.524124430204,0.0481914168147,0.385944443151
45,YcKbLlofvYBnoSFnLkAfSQ,2019-04,37.77782933910262,-122.4159072413054,0.369810913011,0.154424005081,0.4475846584
46,ChivKZHMiCCuMvFVnZDP3A,2019-04,37.77816092855406,-122.4154900293069,0.480751921069,0.0667103961614,0.421642630204
47,OUpxr29QJY2Yr-nXJ-LsSg,2019-04,37.77850238632063,-122.4150586278689,0.477261474614,0.137716074555,0.365591513687
48,ACtbUimgTqjm7EqRPtnK7g,2019-04,37.77884661268769,-122.4146211465741,0.619479333351,0.0614486994882,0.2692941706
49,DAlwqKv5WcyakckcxuDH0g,2019-04,37.77915706095838,-122.4142255027535,0.532322067891,0.144691021065,0.273407068719
50,ge1TQV5sGHjJUPcrxMazcw,2019-04,37.77945844757656,-122.4138430581068,0.498047456589,0.17571651992,0.279155947332
51,jFwFiTnnjavIVCLtBfxOwQ,2019-04,37.77982403628334,-122.4133800545074,0.556424103693,0.201360054731,0.199774041618
52,WXhaGUCbuifujTratrb-vw,2019-04,37.7801455844056,-122.4129684959282,0.503126010109,0.208844631067,0.263520102008
53,xurgzYwxDynWCUQeAdirjw,2019-05,37.7804778,-122.4125538,0.50573646364,0.0885186994937,0.351594171419
54,CRnLa4CurEvDsTcPJis7Tg,2019-04,37.78082493567346,-122.4121088669168,0.436087116635,0.10708823364,0.383351553531
55,nXK5pmFY7Z3M5_hO6m5EKA,2019-04,37.7811524,-122.4116967,0.449985036365,0.240869931637,0.265965769263
56,t7Z5ewBLlS5lqcuvEhAtLQ,2019-04,37.78147219372237,-122.411291792152,0.518264334344,0.177235692425,0.257409029058
57,HyTdf_f2PQ_kyuRj9nxKzg,2019-04,37.78180753167568,-122.4108645540433,0.394900941733,0.358220426012,0.22287136142
58,0bCNWu-Pj2ckY0OOhr0LQg,2019-04,37.78213596030363,-122.4104542011389,0.402889033393,0.211141035656,0.33917883736
59,nKFvpIizs_IIwxDpEOZfUw,2017-10,37.78244643754816,-122.4100547391744,0.350433621623,0.23796015853,0.395985128511
60,tay-S8kYNl_PcxKcyPC5UA,2017-10,37.78280553937048,-122.4096032114722,0.366330435671,0.409820810607,0.189567095328
61,Rh72Kd00jPkRJNyIU7h6cA,2017-10,37.78311872622835,-122.4092161168879,0.404780850434,0.360884982467,0.202478883142
62,DyWcliie7zmr1Y9qlXljxQ,2017-10,37.78346394666897,-122.4087700276219,0.445959105524,0.079497122617,0.445681928126
63,zcEgcdbu_UUeabYi0ft4xw,2019-04,37.7837394,-122.4084229,0.416533150244,0.279972132087,0.272607484802
64,2tC3M4Q0Zz67VI-IOpr6SA,2019-05,37.78410185895465,-122.4079715456043,0.492756141253,0.203504949566,0.23714316803
65,Fajyuwf8Pw5FuKX0ORYqXg,2019-05,37.78445284150359,-122.4075208294395,0.455878552247,0.0980125948478,0.413109674561
66,jSMygS75YJbuDmGKhkFpRQ,2019-05,37.7847518,-122.4071427,0.304688369428,0.222491047977,0.444641756278
67,IvIBJIATZ8ZlhJmM7GxjYw,2019-05,37.7851049,-122.4066975,0.307293722313,0.252206818182,0.377423472933
68,OaNzuL3cWGBkILGEXcyE-g,2019-05,37.78538897726395,-122.4063280797161,0.313226813231,0.17362099418,0.472606281414
69,MqCar1pSh-LqdCSg7uKlQQ,2019-05,37.78572509127886,-122.4058484296094,0.429376379332,0.130033873016,0.382465715659
70,eW0OymtxG4og7bHV_VM5SA,2019-05,37.78609674549767,-122.4054411077873,0.197970866182,0.41650505124,0.366121742576
71,kMskThiSbD106cbmSozWcg,2019-05,37.78645354729105,-122.4049951000273,0.25267859874,0.339237329775,0.359020955989
72,onu4K39Bt6mDDWy92D_ajA,2019-05,37.78679307669645,-122.4045464072393,0.409722987816,0.0950580226497,0.470748781553
73,DLs-KKb21S0kq5gSRpuoLg,2019-05,37.7871052589376,-122.4041453923403,0.325682946607,0.183067591474,0.456425374948
74,pypAmzcbfXv1KUFRjaPRYw,2019-05,37.7874876633845,-122.4036673404186,0.270706007592,0.117772956366,0.572764444519
75,zIldwyTtnWhMz5sPe1bqiA,2019-05,37.78783310380271,-122.4032390650094,0.316762597073,0.0873850032767,0.550982543821
76,ECEWRVtE0eIXKA_lUl087A,2019-05,37.7881489,-122.4028386,0.277583687436,0.0631853572486,0.643357190292
77,UQrwRnX2IF2O9nymhJuzDw,2019-05,37.78850515441127,-122.4023965615661,0.243332684069,0.06224774244,0.647254004943
78,vbn9ItfOpCldLI4Rwu1a2Q,2019-06,37.78915410688911,-122.401571890252,0.245503277971,0.0644326676277,0.647765484225
